latitude,longitude,species
38.879178,-99.32677,Ochotona princeps
37.371887,-104.999927,Ochotona princeps
37.371887,-104.999927,Ochotona princeps
37.371887,-104.999927,Ochotona princeps
37.357394,-105.009067,Ochotona princeps
37.357394,-105.009067,Ochotona princeps
37.357394,-105.009067,Ochotona princeps
37.357394,-105.009067,Ochotona princeps
37.357394,-105.009067,Ochotona princeps
38.83929,-105.04274,Ochotona princeps
38.84048032,-105.0442575,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
38.84054,-105.04442,Ochotona princeps
40.58517879,-105.0842702,Ochotona princeps
37.92802,-105.101782,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
37.306665,-105.154973,Ochotona princeps
40.014986,-105.270546,Ochotona princeps
40.014986,-105.270546,Ochotona princeps
36.57077,-105.406425,Ochotona princeps
36.554474,-105.413063,Ochotona princeps
36.5566491,-105.4167374,Ochotona princeps
36.5566491,-105.4167374,Ochotona princeps
36.5566491,-105.4167374,Ochotona princeps
36.575788,-105.417496,Ochotona princeps
36.55888104,-105.4177445,Ochotona princeps
36.570648,-105.42926,Ochotona princeps
36.570648,-105.42926,Ochotona princeps
36.570648,-105.42926,Ochotona princeps
36.570648,-105.42926,Ochotona princeps
36.570648,-105.42926,Ochotona princeps
36.558026,-105.430584,Ochotona princeps
36.55804,-105.4306,Ochotona princeps
36.564461,-105.431328,Ochotona princeps
36.583501,-105.432568,Ochotona princeps
36.56278,-105.4329,Ochotona princeps
